textDisplay,textOriginal,likeCount,publishedAt,updatedAt
【野性の勘】鋭いとしみつ集って切り抜き作られそう,"【野性の勘】鋭いとしみつ集
って切り抜き作られそう",0,2022-10-19T03:55:34Z,2022-10-19T03:55:34Z
ほかのYouTuber出るのなんか嬉しい,ほかのYouTuber出るのなんか嬉しい,0,2022-10-18T13:18:25Z,2022-10-18T13:18:25Z
ゆめさんの演技が微妙で皆んなが期待してたのに…ってなったって事はやっぱり今のガードマンのリアクションが伸びる秘訣だよね,ゆめさんの演技が微妙で皆んなが期待してたのに…ってなったって事はやっぱり今のガードマンのリアクションが伸びる秘訣だよね,3,2022-10-18T12:40:38Z,2022-10-18T12:40:38Z
ゆめまるのMYの真似うますぎてビビった関西弁が下手くそなところ以外マジでMYだった初期のやる気ない感じの再現がめちゃくちゃ上手かった,"ゆめまるのMYの真似うますぎてビビった
関西弁が下手くそなところ以外マジでMYだった
初期のやる気ない感じの再現がめちゃくちゃ上手かった",3,2022-10-19T05:36:59Z,2022-10-19T05:37:34Z
ジャンプするユメマルサンが可愛すぎた,ジャンプするユメマルサンが可愛すぎた,0,2022-10-18T16:10:11Z,2022-10-18T16:10:19Z
東海オンエアはクソサムネ多いから、おもろい動画掘り当てるのが楽しみまである,東海オンエアはクソサムネ多いから、おもろい動画掘り当てるのが楽しみまである,0,2022-10-18T13:57:29Z,2022-10-18T13:57:29Z
失敗系が伸びない言うてるけど東海の没動画集はめちゃくちゃ伸びてるよね😂😂,"失敗系が伸びない言うてるけど
東海の没動画集はめちゃくちゃ伸びてるよね😂😂",30,2022-10-18T12:31:49Z,2022-10-18T12:31:49Z
逆に伸びた動画やって欲しい,逆に伸びた動画やって欲しい,1,2022-10-19T10:29:56Z,2022-10-19T10:29:56Z
ガードマンだけわかり易すぎた爆笑,ガードマンだけわかり易すぎた爆笑,0,2022-10-18T13:48:54Z,2022-10-18T13:48:54Z
伸びない動画で伸ばす、これぞ動画リサイクル,伸びない動画で伸ばす、これぞ動画リサイクル,1,2022-10-18T13:13:28Z,2022-10-18T13:13:28Z
へらへらの動画、本家もめちゃめちゃおもろかった,へらへらの動画、本家もめちゃめちゃおもろかった,3,2022-10-18T13:40:31Z,2022-10-18T13:40:31Z
7:49としみつがたまに鋭いの好き。,"7:49
としみつがたまに鋭いの好き。",5,2022-10-18T12:48:48Z,2022-10-18T12:48:48Z
さすがに極限チャレンジの部分から言っちゃったら分かるやん爆笑,さすがに極限チャレンジの部分から言っちゃったら分かるやん爆笑,0,2022-10-18T23:23:38Z,2022-10-18T23:23:38Z
東海オンエアの動画ではじめん出てくると嬉しい気持ちになるの俺だけ？,東海オンエアの動画ではじめん出てくると嬉しい気持ちになるの俺だけ？,0,2022-10-18T22:47:47Z,2022-10-18T22:47:47Z
1本目のやつ、時期が謎すぎて過去動画かと思って見直したの覚えてるｗ,1本目のやつ、時期が謎すぎて過去動画かと思って見直したの覚えてるｗ,0,2022-10-18T16:41:34Z,2022-10-18T16:41:34Z
素晴らしい急上昇おめでとうございます,"素晴らしい
急上昇おめでとうございます",1,2022-10-19T21:52:07Z,2022-10-19T21:52:07Z
何とは言わんがとりあえず東海ならなんでも笑うバカが再現でも笑えないって相当合わねえんだろうな,何とは言わんがとりあえず東海ならなんでも笑うバカが再現でも笑えないって相当合わねえんだろうな,4,2022-10-18T16:30:01Z,2022-10-18T16:30:01Z
やっすいちょけ動画の答えがスカイピースという展開面白すぎる,やっすいちょけ動画の答えがスカイピースという展開面白すぎる,5,2022-10-18T22:04:44Z,2022-10-18T22:04:44Z
虫さん、レイクレは違うわ,虫さん、レイクレは違うわ,0,2022-10-18T15:57:31Z,2022-10-18T15:57:31Z
東海と繋がりなさそうなヘラヘラとガードマンが出てきて嬉しい！！あと、えびすじゃっぷとコラボしてほしい！！！,東海と繋がりなさそうなヘラヘラとガードマンが出てきて嬉しい！！あと、えびすじゃっぷとコラボしてほしい！！！,0,2022-10-18T12:38:26Z,2022-10-18T12:38:26Z
てっちゃんの編集BGMもテロップも素材もどれもしっかり考えられていてとっても見ごたえが感じられた！！みんなで一生懸命頑張っていて見ていてとっても面白かった！！,"てっちゃんの編集BGMもテロップも素材もどれもしっかり考えられていてとっても見ごたえが感じられた！！
みんなで一生懸命頑張っていて見ていてとっても面白かった！！",2,2022-10-18T13:29:09Z,2022-10-18T13:29:09Z
はじめんのわかりやすかった笑,はじめんのわかりやすかった笑,0,2022-10-18T13:34:16Z,2022-10-18T13:34:16Z
てつやが実家で撮影してたりはじめんが大学生やった頃から観てる俺からするとこの動画よりサンタの動画の方がおもろい😂,てつやが実家で撮影してたりはじめんが大学生やった頃から観てる俺からするとこの動画よりサンタの動画の方がおもろい😂,1,2022-10-18T13:59:24Z,2022-10-18T13:59:24Z
低くてもいいから東海オンエアは好きなことをしてほしいな。個性が強すぎる,低くてもいいから東海オンエアは好きなことをしてほしいな。個性が強すぎる,0,2022-10-18T16:25:12Z,2022-10-18T16:25:12Z
【失敗作】は正直すぎて草,【失敗作】は正直すぎて草,8,2022-10-18T13:08:24Z,2022-10-18T13:08:24Z
東海みてると色んなyoutuber知れるから楽しい,東海みてると色んなyoutuber知れるから楽しい,4,2022-10-18T13:00:27Z,2022-10-18T13:00:27Z
ゆめまるの演技力(笑),ゆめまるの演技力(笑),0,2022-10-18T12:35:43Z,2022-10-18T12:35:43Z
この程度いいんだよ。あの人たちとのコラボは。,この程度いいんだよ。あの人たちとのコラボは。,14,2022-10-18T12:39:35Z,2022-10-18T12:39:35Z
最初の動画めっちゃはじめんだな〜って思ってたらやっぱりはじめんで、流石だなってなった笑,最初の動画めっちゃはじめんだな〜って思ってたらやっぱりはじめんで、流石だなってなった笑,0,2022-10-18T15:41:55Z,2022-10-18T15:41:55Z
最初のマサイ族が最終問題の伏線はってて草,最初のマサイ族が最終問題の伏線はってて草,0,2022-10-18T14:47:13Z,2022-10-18T14:47:13Z
最後のだけ異常におもんないなって思ってたらスカイピースって言われてめっちゃ納得したわ,最後のだけ異常におもんないなって思ってたらスカイピースって言われてめっちゃ納得したわ,9,2022-10-18T14:50:45Z,2022-10-18T14:50:45Z
東海に出るたびに叩かれる感謝感謝,東海に出るたびに叩かれる感謝感謝,0,2022-10-18T16:21:22Z,2022-10-18T16:21:22Z
再現した方のマサイ族の動画は昔の東海オンエアがやってても違和感ないなw,再現した方のマサイ族の動画は昔の東海オンエアがやってても違和感ないなw,2,2022-10-18T14:10:17Z,2022-10-18T14:10:17Z
東海オンエアの失敗動画なんて死ぬほどあるのに全部再生数取れてるのすごいし最後の確実に（ガードマン及び東海オンエアは例外）でしょ,東海オンエアの失敗動画なんて死ぬほどあるのに全部再生数取れてるのすごいし最後の確実に（ガードマン及び東海オンエアは例外）でしょ,0,2022-10-19T00:34:52Z,2022-10-19T00:34:52Z
てつやマサイ族の動画めちゃくちゃ面白くて草,てつやマサイ族の動画めちゃくちゃ面白くて草,2,2022-10-19T08:15:59Z,2022-10-19T08:15:59Z
ヘラヘラの好きすぎて何回も見てた😂,ヘラヘラの好きすぎて何回も見てた😂,0,2022-10-18T14:40:57Z,2022-10-18T14:40:57Z
24時間にらめっこがなぜ伸びてないのかわからない…あれバカおもろかったけどなぁ〜,"24時間にらめっこがなぜ伸びてないのかわからない…
あれバカおもろかったけどなぁ〜",0,2022-10-18T16:48:15Z,2022-10-18T16:48:15Z
これ自分が見たことある動画だとなお笑える😂😂,これ自分が見たことある動画だとなお笑える😂😂,0,2022-10-19T03:43:50Z,2022-10-19T03:43:50Z
にらめっこの動画何回見たかわからないくらいなのに人気なかったんだ、、,にらめっこの動画何回見たかわからないくらいなのに人気なかったんだ、、,2,2022-10-19T02:45:45Z,2022-10-19T02:45:45Z
てつゆめ大変だったろうに、、笑,てつゆめ大変だったろうに、、笑,1,2022-10-19T05:32:04Z,2022-10-19T05:32:04Z
がーどだしてくれるのクソ嬉しい,がーどだしてくれるのクソ嬉しい,3,2022-10-18T12:54:16Z,2022-10-18T12:54:16Z
この男たまに鋭いんだよな、めっちゃ好き,この男たまに鋭いんだよな、めっちゃ好き,1,2022-10-19T05:37:50Z,2022-10-19T05:37:50Z
7:51〜これだからとしみつはやめられないってばよ…,"7:51〜
これだからとしみつはやめられないってばよ…",0,2022-10-18T15:26:03Z,2022-10-18T15:26:03Z
絵はがきみたいな芋だな🍠のツッコミがドンピシャすぎて🤣てつマサイ族の棒が短いのもそうだし、虫さんのツッコミ面白すぎる,"絵はがきみたいな芋だな🍠
のツッコミがドンピシャすぎて🤣
てつマサイ族の棒が短いのもそうだし、虫さんのツッコミ面白すぎる",1,2022-10-19T01:59:08Z,2022-10-19T01:59:08Z
久々こんな尖った動画見たわw,久々こんな尖った動画見たわw,4,2022-10-18T12:38:13Z,2022-10-18T12:38:13Z
やっぱはじめしゃちょーって凄いんだな,やっぱはじめしゃちょーって凄いんだな,2,2022-10-19T07:39:12Z,2022-10-19T07:39:12Z
『【たまに鋭い男】鋭いとしみつ集』とか溢れそうだなぁまた,『【たまに鋭い男】鋭いとしみつ集』とか溢れそうだなぁまた,1,2022-10-18T13:45:36Z,2022-10-18T13:45:36Z
てつやの家峯岸の写真飾ってあるの萌,てつやの家峯岸の写真飾ってあるの萌,0,2022-10-18T13:47:54Z,2022-10-18T13:47:54Z
マサイ族の元の動画見たことあったから、すんごい嬉しい！！！！！（笑）東海に出れて喜んでそう！！！！,マサイ族の元の動画見たことあったから、すんごい嬉しい！！！！！（笑）東海に出れて喜んでそう！！！！,0,2022-10-18T23:53:16Z,2022-10-18T23:53:16Z
menさんといいてつやに外国人キャラやらせたら無敵,menさんといいてつやに外国人キャラやらせたら無敵,0,2022-10-20T18:50:25Z,2022-10-20T18:50:25Z
ヘラヘラレジャー動画が伸びずにおしゃべりが伸びるの女子～って感じ🤣,"ヘラヘラレジャー動画が伸びずにおしゃべりが伸びるの
女子～って感じ🤣",0,2022-10-19T05:38:13Z,2022-10-19T05:38:13Z
8:10の編集好きすぎるw,8:10の編集好きすぎるw,0,2022-10-19T00:22:15Z,2022-10-19T00:22:15Z
ことごとく神がスカイピースと東海に不仲説を提唱し続けてるw,ことごとく神がスカイピースと東海に不仲説を提唱し続けてるw,1,2022-10-18T23:57:30Z,2022-10-18T23:57:30Z
最近の東海の動画長くて嬉しいふふふ,最近の東海の動画長くて嬉しいふふふ,1,2022-10-18T14:08:08Z,2022-10-18T14:08:08Z
サンタvsとなかいも何年もたって28万回なのに現東海オンエアはそれを1時間でこすすごさ。最高,サンタvsとなかいも何年もたって28万回なのに現東海オンエアはそれを1時間でこすすごさ。最高,0,2022-10-18T13:54:49Z,2022-10-18T13:54:49Z
処刑人もロジャーが最後に何言うか聞きたいしな,処刑人もロジャーが最後に何言うか聞きたいしな,0,2022-10-18T14:43:55Z,2022-10-18T14:43:55Z
結城美柑Tシャツがあまりにも可愛すぎる自分ならもったいなくて着れない,"結城美柑Tシャツがあまりにも可愛すぎる
自分ならもったいなくて着れない",2,2022-10-18T21:17:23Z,2022-10-18T21:17:23Z
ストラックアウトのやつマジでおもんないなって思ってみてたら答えで笑えた,ストラックアウトのやつマジでおもんないなって思ってみてたら答えで笑えた,11,2022-10-18T12:36:55Z,2022-10-18T12:36:55Z
東海オンエアってyoutuberも観てて面白いんだろうなぁ,東海オンエアってyoutuberも観てて面白いんだろうなぁ,0,2022-10-19T00:30:16Z,2022-10-19T00:30:16Z
きっと需要にあってなかった供給(動画)だと伸びないんだねってわかった,きっと需要にあってなかった供給(動画)だと伸びないんだねってわかった,2,2022-10-18T22:26:11Z,2022-10-18T22:26:11Z
